Full name,Sortable name,Canvas user id,Overall course grade,Assignment on time percent,Last page view time,Last participation time,Page Views,Participations,Email,SIS Id
Sam Young,"Young, Sam",918300000529204828,87.37955570115085,89.30837338403275,"Oct 7, 2020","Oct 7, 2020",1128,32,youngs7732@fakeuniversity.edu,UNIV11659000
Karen Hill,"Hill, Karen",918300000508854984,72.12204519367054,78.07212779790778,"Oct 7, 2020","Sep 28, 2020",206,18,hillk8280@fakeuniversity.edu,UNIV11682130
Carol Nguyen,"Nguyen, Carol",918300000552913408,93.94756448578578,92.38988578561639,"Oct 7, 2020","Oct 5, 2020",523,26,nguyenc7161@fakeuniversity.edu,UNIV11629732
Uma Davis,"Davis, Uma",918300000502282413,83.85822040456242,86.91626260959448,"Oct 7, 2020","Oct 5, 2020",427,31,davisu9978@fakeuniversity.edu,UNIV11695932
Carol Moore,"Moore, Carol",918300000992539871,76.71172451115024,81.96946378049499,"Oct 6, 2020","Sep 29, 2020",384,23,moorec3865@fakeuniversity.edu,UNIV11675420
Carol Evans,"Evans, Carol",918300000226264839,82.26912338906726,84.0165220653787,"Oct 7, 2020","Oct 5, 2020",581,30,evansc2243@fakeuniversity.edu,UNIV11632674
Liam Fisher,"Fisher, Liam",918300000472421910,90.63690821587447,84.93387388116959,"Oct 7, 2020","Oct 7, 2020",569,25,fisherl4288@fakeuniversity.edu,UNIV11682789
Sam Kim,"Kim, Sam",918300000358226380,86.57731738874585,95.3276424646279,"Oct 7, 2020","Oct 5, 2020",457,24,kims4643@fakeuniversity.edu,UNIV11636436
Will Moore,"Moore, Will",918300000811193156,80.2238875244571,96.13898297117105,"Oct 7, 2020","Oct 5, 2020",480,24,moorew4442@fakeuniversity.edu,UNIV11626832
Will Lopez,"Lopez, Will",918300000839811582,98.9043966687391,88.61990458031204,"Oct 7, 2020","Oct 7, 2020",1005,27,lopezw3621@fakeuniversity.edu,UNIV11624675
Eve Vargas,"Vargas, Eve",918300000677858425,84.73664350697835,87.6787897335191,"Oct 7, 2020","Oct 5, 2020",263,28,vargase5875@fakeuniversity.edu,UNIV11697528
David Adams,"Adams, David",918300000380042376,66.99843008429573,68.5384268439158,"Oct 5, 2020","Sep 28, 2020",188,16,adamsd9851@fakeuniversity.edu,UNIV11684370
Jack Garcia,"Garcia, Jack",918300000540020073,75.48992048548794,68.04557800563052,"Oct 6, 2020","Oct 5, 2020",533,29,garciaj5153@fakeuniversity.edu,UNIV11620171
Uma Moore,"Moore, Uma",918300000288927850,96.53463798463066,88.59182793856564,"Oct 7, 2020","Oct 5, 2020",725,24,mooreu9153@fakeuniversity.edu,UNIV11626348
Noah Baker,"Baker, Noah",918300000632380996,92.13995747890522,78.26097384536367,"Oct 7, 2020","Oct 5, 2020",587,25,bakern3333@fakeuniversity.edu,UNIV11670845
Iris Xu,"Xu, Iris",918300000244389130,75.76052021390895,84.97370361609809,"Oct 5, 2020","Oct 5, 2020",184,14,xui6887@fakeuniversity.edu,UNIV11630060
Will Okafor,"Okafor, Will",918300000796439072,95.5165378055937,91.63846708882123,"Oct 7, 2020","Oct 5, 2020",303,25,okaforw7793@fakeuniversity.edu,UNIV11645179
Carol Kim,"Kim, Carol",918300000865355423,93.59627511007213,96.27381888428515,"Oct 7, 2020","Oct 5, 2020",609,25,kimc2876@fakeuniversity.edu,UNIV11671544
Carol Xu,"Xu, Carol",918300000839823005,83.26817358956897,77.19852052824687,"Oct 5, 2020","Sep 28, 2020",253,17,xuc6402@fakeuniversity.edu,UNIV11683421
Grace Zhang,"Zhang, Grace",918300000932803296,99.68338381365511,96.13247036765989,"Oct 7, 2020","Oct 5, 2020",849,27,zhangg6847@fakeuniversity.edu,UNIV11683973
Xena Reyes,"Reyes, Xena",918300000113622179,84.39153075798316,95.79096368945963,"Oct 5, 2020","Oct 5, 2020",254,31,reyesx6812@fakeuniversity.edu,UNIV11637000
Zoe Torres,"Torres, Zoe",918300000953062186,95.61187690874475,96.33061000819669,"Oct 7, 2020","Oct 7, 2020",500,31,torresz4596@fakeuniversity.edu,UNIV11631674
Paul Patel,"Patel, Paul",918300000735518337,91.91430672069251,91.22538589654576,"Oct 6, 2020","Oct 5, 2020",370,26,patelp1492@fakeuniversity.edu,UNIV11663814
Jack Nguyen,"Nguyen, Jack",918300000622105708,85.76618217107891,79.00718285324822,"Oct 5, 2020","Oct 5, 2020",330,22,nguyenj3397@fakeuniversity.edu,UNIV11644898
Bob Smith,"Smith, Bob",918300000275874094,86.19648927139693,91.63637248045477,"Oct 7, 2020","Oct 5, 2020",648,25,smithb2713@fakeuniversity.edu,UNIV11642500
Eve Evans,"Evans, Eve",918300000216445106,90.17563444439615,95.92528474614726,"Oct 6, 2020","Oct 5, 2020",536,22,evanse8191@fakeuniversity.edu,UNIV11685488
Paul Kim,"Kim, Paul",918300000468426841,95.91831682563912,88.56310103649815,"Oct 7, 2020","Oct 5, 2020",555,26,kimp4183@fakeuniversity.edu,UNIV11641497
Eve Smith,"Smith, Eve",918300000433896957,99.06106769663455,92.00710893398035,"Oct 7, 2020","Oct 5, 2020",1340,23,smithe4092@fakeuniversity.edu,UNIV11650924
Tara Fisher,"Fisher, Tara",918300000308700472,66.70448290955346,73.78682448534005,"Oct 6, 2020","Oct 5, 2020",495,23,fishert2275@fakeuniversity.edu,UNIV11640876
Mia Quinn,"Quinn, Mia",918300000787108016,99.61632129460632,91.96309557823335,"Oct 7, 2020","Oct 5, 2020",523,24,quinnm7274@fakeuniversity.edu,UNIV11623739
Mia Quinn,"Quinn, Mia",918300000848977066,64.01345161738637,70.78568609965271,"Oct 7, 2020","Oct 5, 2020",323,27,quinnm2937@fakeuniversity.edu,UNIV11696129
Grace Moore,"Moore, Grace",918300000386403121,80.49098062267609,87.45761877105016,"Oct 7, 2020","Sep 28, 2020",422,19,mooreg1867@fakeuniversity.edu,UNIV11623928
Karen Garcia,"Garcia, Karen",918300000795495261,95.20516307327901,92.08741004378447,"Oct 7, 2020","Oct 5, 2020",582,25,garciak1406@fakeuniversity.edu,UNIV11673758
Liam Young,"Young, Liam",918300000447939167,94.91446594771654,83.41377016357191,"Oct 7, 2020","Oct 5, 2020",1496,25,youngl7205@fakeuniversity.edu,UNIV11631669
