Full name,Sortable name,Canvas user id,Overall course grade,Assignment on time percent,Last page view time,Last participation time,Page Views,Participations,Email,SIS Id
Howard Banks,"Banks, Howard",918300000549965268,87.38992905824257,89.34286061344585,"Oct 7, 2020","Oct 7, 2020",1128,32,banksh7576@fakeuniversity.edu,UNIV11656938
Carlo Moss,"Moss, Carlo",918300000974163854,71.98356992707839,78.10288003182372,"Oct 7, 2020","Sep 28, 2020",206,18,mossc2412@fakeuniversity.edu,UNIV11688034
Crystal Robison,"Robison, Crystal",918300000173460809,94.03787874420516,92.31837671370793,"Oct 7, 2020","Oct 5, 2020",523,26,robisonc2534@fakeuniversity.edu,UNIV11636436
Cynthia Royal,"Royal, Cynthia",918300000541874141,83.77080300330286,86.87186457640202,"Oct 7, 2020","Oct 5, 2020",427,31,royalc8447@fakeuniversity.edu,UNIV11694751
Yolanda Davis,"Davis, Yolanda",918300000550808975,76.98511777784043,81.86317592730191,"Oct 6, 2020","Sep 29, 2020",384,23,davisy3880@fakeuniversity.edu,UNIV11649927
Gregory Bellamy,"Bellamy, Gregory",918300000951508393,82.4541553535947,84.17955489728548,"Oct 7, 2020","Oct 5, 2020",581,30,bellamyg8652@fakeuniversity.edu,UNIV11668917
Joann Buntin,"Buntin, Joann",918300000522606472,90.4423763733231,84.67324830385947,"Oct 7, 2020","Oct 7, 2020",569,25,buntinj2679@fakeuniversity.edu,UNIV11692046
Kelly Strawderman,"Strawderman, Kelly",918300000114431152,86.48133433600249,95.45388047914028,"Oct 7, 2020","Oct 5, 2020",457,24,strawdermank2750@fakeuniversity.edu,UNIV11693711
Ann Howard,"Howard, Ann",918300000459715835,80.36927637382364,96.25469055373603,"Oct 7, 2020","Oct 5, 2020",480,24,howarda6440@fakeuniversity.edu,UNIV11666114
Robert Lee,"Lee, Robert",918300000512829179,98.90295118586128,88.74387356155314,"Oct 7, 2020","Oct 7, 2020",1005,27,leer8751@fakeuniversity.edu,UNIV11698725
Shirley Yamada,"Yamada, Shirley",918300000250278137,84.97678964691286,87.63606568079643,"Oct 7, 2020","Oct 5, 2020",263,28,yamadas8318@fakeuniversity.edu,UNIV11647636
Herbert Hopkins,"Hopkins, Herbert",918300000413452858,66.93975471865143,68.62042720387018,"Oct 5, 2020","Sep 28, 2020",188,16,hopkinsh6332@fakeuniversity.edu,UNIV11688948
Margaret Lyle,"Lyle, Margaret",918300000560077561,75.80645105586748,68.00184676870411,"Oct 6, 2020","Oct 5, 2020",533,29,lylem9404@fakeuniversity.edu,UNIV11645275
William Harrington,"Harrington, William",918300000509870712,96.33548189923164,88.55840642231183,"Oct 7, 2020","Oct 5, 2020",725,24,harringtonw6960@fakeuniversity.edu,UNIV11652529
Elizabeth Mclean,"Mclean, Elizabeth",918300000355423603,92.26653916732049,78.4038065603422,"Oct 7, 2020","Oct 5, 2020",587,25,mcleane9343@fakeuniversity.edu,UNIV11641684
Julian Ackerman,"Ackerman, Julian",918300000557663897,75.7954672959607,85.09412667931085,"Oct 5, 2020","Oct 5, 2020",184,14,ackermanj7004@fakeuniversity.edu,UNIV11620132
Moses Robinson,"Robinson, Moses",918300000103845575,95.57321641439613,91.62327676931493,"Oct 7, 2020","Oct 5, 2020",303,25,robinsonm5188@fakeuniversity.edu,UNIV11646946
Catherine Chupp,"Chupp, Catherine",918300000139146572,93.4128416686398,96.23446067908914,"Oct 7, 2020","Oct 5, 2020",609,25,chuppc8713@fakeuniversity.edu,UNIV11658659
Bridgett Milla,"Milla, Bridgett",918300000980583265,83.48756780324292,77.21024676755283,"Oct 5, 2020","Sep 28, 2020",253,17,millab4121@fakeuniversity.edu,UNIV11663348
Michael Hughes,"Hughes, Michael",918300000562289354,99.02911139007809,96.17715408787599,"Oct 7, 2020","Oct 5, 2020",849,27,hughesm9628@fakeuniversity.edu,UNIV11632359
Victor Heaton,"Heaton, Victor",918300000463142756,84.5815510333026,95.7878313164711,"Oct 5, 2020","Oct 5, 2020",254,31,heatonv9864@fakeuniversity.edu,UNIV11638467
Robert Macdonald,"Macdonald, Robert",918300000903050880,95.51688834543974,96.39119418438453,"Oct 7, 2020","Oct 7, 2020",500,31,macdonaldr8532@fakeuniversity.edu,UNIV11621591
Erica Brothers,"Brothers, Erica",918300000923650329,92.1063699021404,91.13661457882435,"Oct 6, 2020","Oct 5, 2020",370,26,brotherse5210@fakeuniversity.edu,UNIV11621992
Mary Prescott,"Prescott, Mary",918300000267090022,85.73234115943217,79.009703159304,"Oct 5, 2020","Oct 5, 2020",330,22,prescottm6829@fakeuniversity.edu,UNIV11659676
Calvin Deblois,"Deblois, Calvin",918300000127699681,86.1485241817869,91.76183281946835,"Oct 7, 2020","Oct 5, 2020",648,25,debloisc6724@fakeuniversity.edu,UNIV11668330
Basil Wall,"Wall, Basil",918300000170369084,89.72874137768618,96.10223125977775,"Oct 6, 2020","Oct 5, 2020",536,22,wallb8090@fakeuniversity.edu,UNIV11663038
Mary Percell,"Percell, Mary",918300000163820713,95.78228243356325,88.48286277990545,"Oct 7, 2020","Oct 5, 2020",555,26,percellm8050@fakeuniversity.edu,UNIV11685207
Justin Cisneros,"Cisneros, Justin",918300000561357666,99.33213509344425,91.95264499031288,"Oct 7, 2020","Oct 5, 2020",1340,23,cisnerosj4876@fakeuniversity.edu,UNIV11664269
Walter Simmons,"Simmons, Walter",918300000402862299,67.04323041503358,73.78484867371364,"Oct 6, 2020","Oct 5, 2020",495,23,simmonsw3583@fakeuniversity.edu,UNIV11642392
Kenneth Moriarity,"Moriarity, Kenneth",918300000520004594,99.13299572932264,92.14848676726373,"Oct 7, 2020","Oct 5, 2020",523,24,moriarityk4783@fakeuniversity.edu,UNIV11663853
James Castillo,"Castillo, James",918300000647905965,63.727431463408955,70.84423794769963,"Oct 7, 2020","Oct 5, 2020",323,27,castilloj6423@fakeuniversity.edu,UNIV11678553
Kathleen Nichols,"Nichols, Kathleen",918300000976366081,80.6688823559375,87.45504486539592,"Oct 7, 2020","Sep 28, 2020",422,19,nicholsk4498@fakeuniversity.edu,UNIV11636508
James Croteau,"Croteau, James",918300000891388834,95.18275755355897,92.12895930809063,"Oct 7, 2020","Oct 5, 2020",582,25,croteauj5077@fakeuniversity.edu,UNIV11627626
David Kees,"Kees, David",918300000729806730,94.91971663557462,83.30810864301273,"Oct 7, 2020","Oct 5, 2020",1496,25,keesd6699@fakeuniversity.edu,UNIV11629611
Daniel Dougan,"Dougan, Daniel",918300000845384398,84.97185999691926,91.65495004184554,"Oct 7, 2020","Oct 7, 2020",806,31,dougand4030@fakeuniversity.edu,UNIV11644213
Rachel Ali,"Ali, Rachel",918300000298290065,97.61526504131194,92.88088946155942,"Oct 7, 2020","Oct 5, 2020",767,28,alir1962@fakeuniversity.edu,UNIV11679329
Sung Nyman,"Nyman, Sung",918300000870519128,80.80780338949704,90.19489195576749,"Oct 7, 2020","Sep 28, 2020",304,17,nymans8435@fakeuniversity.edu,UNIV11644244
Clyde Hernandez,"Hernandez, Clyde",918300000996168447,97.59001522374822,95.5133099049403,"Oct 7, 2020","Oct 5, 2020",310,25,hernandezc8080@fakeuniversity.edu,UNIV11647364
John Nelson,"Nelson, John",918300000423969424,95.35019512238159,88.08880607011712,"Oct 7, 2020","Oct 7, 2020",360,27,nelsonj6727@fakeuniversity.edu,UNIV11695207
